City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethlehem,-1.4558,-48.5044,24.02,94,75,7.72,BR,1659382740
1,new norfolk,-42.7826,147.0587,12.73,70,100,2.68,AU,1709782740
2,yulara,-25.2406,130.9889,24.89,19,0,3.88,AU,1704382740
3,atuona,-9.8,-139.0333,25.0,81,28,6.68,PF,1635982740
4,gualaquiza,-3.4,-78.55,27.27,52,33,2.14,EC,1652182740
5,dingle,10.9995,122.6711,24.31,93,100,2.89,PH,1698982740
6,juneau,58.3019,-134.4197,-2.1,86,20,0.0,US,1637782740
7,rikitea,-23.1203,-134.9692,23.65,83,60,6.71,PF,1637782740
8,bredasdorp,-34.5322,20.0403,16.47,62,98,2.59,ZA,1677382740
9,eyl,7.9803,49.8164,24.77,73,71,8.3,SO,1680982740
10,ushuaia,-54.8,-68.3,12.81,41,40,5.66,AR,1659382740
11,tuktoyaktuk,69.4541,-133.0374,-27.0,83,20,3.09,CA,1644982740
12,tabat,-2.635,115.2274,23.03,93,100,0.49,ID,1698982740
13,yellowknife,62.456,-114.3525,-18.71,65,75,5.66,CA,1644982740
14,namatanai,-3.6667,152.4333,25.83,83,100,2.1,PG,1706182740
15,bluff,-46.6,168.3333,10.45,71,100,4.62,NZ,1716982740
16,labuhan,-6.8844,112.2051,26.25,81,84,1.21,ID,1695382740
17,georgetown,5.4112,100.3354,27.35,90,20,1.03,MY,1698982740
18,longyearbyen,78.2186,15.6401,-0.09,93,75,3.09,SJ,1673782740
19,xichang,27.8964,102.2634,3.51,82,5,1.59,CN,1698982740
20,irbil,36.1926,44.0106,13.14,60,46,2.28,IQ,1680982740
21,adrar,20.5022,-10.0711,25.59,17,58,2.53,MR,1670182740
22,hermanus,-34.4187,19.2345,14.89,71,55,3.11,ZA,1677382740
23,tasiilaq,65.6145,-37.6368,-2.91,67,10,1.82,GL,1659382740
24,isangel,-19.55,169.2667,27.46,78,100,2.05,VU,1709782740
25,chokurdakh,70.6333,147.9167,-38.33,100,34,1.63,RU,1709782740
26,hofn,64.2539,-15.2082,5.14,33,94,0.85,IS,1670182740
27,ponta do sol,32.6667,-17.1,16.35,78,100,8.2,PT,1670182740
28,puerto carreno,6.189,-67.4859,32.99,55,75,4.63,CO,1652182740
29,saldanha,-33.0117,17.9442,16.03,77,31,8.93,ZA,1677382740
30,hasaki,35.7333,140.8333,8.22,75,100,8.48,JP,1702582740
31,stornoway,58.2093,-6.3865,6.98,80,75,4.63,GB,1670182740
32,selma,36.5708,-119.6121,16.1,94,36,4.12,US,1641382740
33,avarua,-21.2078,-159.775,27.03,83,75,3.09,CK,1634182740
34,christchurch,-43.5333,172.6333,15.53,84,75,1.03,NZ,1716982740
35,pochutla,15.7432,-96.4661,32.12,41,0,3.5,MX,1648582740
36,saskylakh,71.9167,114.0833,-24.27,96,100,8.54,RU,1702582740
37,machakos,-1.5167,37.2667,17.97,95,100,1.68,KE,1680982740
38,petropavlovsk-kamchatskiy,53.0452,158.6483,-17.67,78,0,7.0,RU,1713382740
39,khatanga,71.9667,102.5,-18.74,89,100,4.15,RU,1695382740
40,kodiak,57.79,-152.4072,2.73,81,75,2.57,US,1637782740
41,vaini,-21.2,-175.2,26.09,89,75,4.63,TO,1716982740
42,tual,-5.6667,132.75,27.9,71,100,0.56,ID,1702582740
43,lufilufi,-13.8745,-171.5986,23.88,74,96,3.88,WS,1716982740
